id,normalizedName,width,height
5447a9cd4bdc2dbd208b4567,colt-m4a1-556x45-assault-rifle,1,1
5447ac644bdc2d6c208b4567,556x45mm-m855-ammo-pack-30-pcs,1,1
5448ba0b4bdc2d02308b456c,factory-emergency-exit-key,1,1
5448bd6b4bdc2dfc2f8b4569,makarov-pm-9x18pm-pistol,2,1
5448be9a4bdc2dfd2f8b456a,rgd-5-hand-grenade,1,1
5448c12b4bdc2d02308b456f,pm-9x18pm-90-93-8-round-magazine,1,1
5448c1d04bdc2dff2f8b4569,556x45-magpul-pmag-20-gen-m3-stanag-20-round-magazine,1,1
5448fee04bdc2dbc018b4567,bottle-of-water-06l,1,2
5448ff904bdc2d6f028b456e,army-crackers,1,1
5449016a4bdc2d6f028b456f,roubles,1,1
544909bb4bdc2d6f028b4577,anpeq-15-tactical-device,1,1
54491bb74bdc2d09088b4567,er-fulcrum-bayonet,2,1
54491c4f4bdc2db1078b4568,mp-133-12ga-pump-action-shotgun,3,1
544a11ac4bdc2d470e8b456a,secure-container-alpha,2,2
544a378f4bdc2d30388b4567,556x45-magpul-pmag-40-gen-m3-stanag-40-round-magazine,1,3
544a37c44bdc2d25388b4567,556x45-surefire-mag5-60-stanag-60-round-magazine,1,2
544a38634bdc2d58388b4568,ar-15-colt-usgi-a2-556x45-flash-hider,1,1
544a3a774bdc2d3a388b4567,leupold-mark-4-hamr-4x24-deltapoint-hybrid-assault-scope,2,1
544a5caa4bdc2d1a388b4568,crye-precision-avs-plate-carrier,3,4
544a5cde4bdc2d39388b456b,flyye-mbss-backpack,4,4
544fb25a4bdc2dfb738b4567,aseptic-bandage,1,1
544fb3364bdc2d34748b456a,immobilizing-splint,1,1
544fb37f4bdc2dee738b4567,analgin-painkillers,1,1
544fb3f34bdc2d03748b456a,morphine-injector,1,1
544fb45d4bdc2dee738b4568,salewa-first-aid-kit,1,2
544fb5454bdc2df8738b456a,leatherman-multitool,1,1
544fb62a4bdc2dfb738b4568,pack-of-russian-army-pineapple-juice,1,2
544fb6cc4bdc2d34748b456e,slickers-chocolate-bar,1,1
54527a984bdc2d4e668b4567,556x45mm-m855,1,1
54527ac44bdc2d36668b4567,556x45mm-m855a1,1,1
545cdae64bdc2d39198b4568,camelbak-tri-zip-assault-backpack,5,6
545cdb794bdc2d3a198b456a,6b43-6a-zabralo-sh-body-armor,4,4
557ff21e4bdc2d89578b4586,tactical-glasses,2,1
5580169d4bdc2d9d138b4585,mp-43-1c-12ga-510mm-barrel,3,1
55801eed4bdc2d89578b4588,sv-98-762x54r-bolt-action-sniper-rifle,4,1
5580223e4bdc2d1c128b457f,mp-43-1c-12ga-double-barrel-shotgun,2,1
558022b54bdc2dac148b458d,eotech-exps3-holographic-sight-tan,1,1
55802d5f4bdc2dac148b458e,556x45-magpul-pmag-30-gen-m3-w-stanag-30-round-magazine,1,2
55802f5d4bdc2dac148b458f,ar-15-magpul-moe-pistol-grip-black,1,1
558032614bdc2de7118b4585,tangodown-stubby-bgv-mk46k-foregrip-black,1,1
559ba5b34bdc2d1f1a8b4582,sv-98-762x54r-10-round-magazine,1,1
55d355e64bdc2d962f8b4569,m4a1-556x45-upper-receiver,2,1
55d35ee94bdc2d61338b4568,ar-15-556x45-260mm-barrel,2,1
55d3632e4bdc2d972f8b4569,ar-15-556x45-370mm-barrel,3,1
55d447bb4bdc2d892f8b456f,mp-43-1c-12ga-725mm-barrel,5,1
55d448594bdc2d8c2f8b4569,mp-133-12ga-610mm-barrel,4,1
55d4491a4bdc2d882f8b456e,mp-133-12ga-510mm-barrel,3,1
55d449444bdc2d962f8b456d,mp-133-12ga-610mm-barrel-with-rib,4,1
55d44fd14bdc2d962f8b456e,ar-15-colt-charging-handle,1,1
55d459824bdc2d892f8b4573,ar-15-kac-ris-handguard,2,1
55d45d3f4bdc2d972f8b456c,mp-133-beechwood-forestock,2,1
55d45f484bdc2d972f8b456d,mp-133-custom-plastic-forestock-with-rails,2,1
55d480c04bdc2d1d4e8b456a,ak-74-545x39-6l23-30-round-magazine,1,2
55d481904bdc2d8c2f8b456a,ak-74-545x39-6l26-45-round-magazine,1,3
55d482194bdc2d1d4e8b456b,ak-74-545x39-6l31-60-round-magazine,1,2
55d4837c4bdc2d1d4e8b456c,ak-74-saiga-545-545x39-10-round-magazine,1,1
55d484b44bdc2d1d4e8b456d,mp-133-12ga-6-shell-magazine,2,1
55d485804bdc2d8c2f8b456b,mp-133-12ga-8-shell-magazine,3,1
55d485be4bdc2d962f8b456f,pm-9x18pm-84-round-makeshift-drum-magazine,2,2
55d4887d4bdc2d962f8b4570,556x45-colt-ar-15-stanag-30-round-magazine,1,2
55d48a634bdc2d8b2f8b456a,kiba-arms-sprm-rail-mount-for-pump-action-shotguns,1,1
55d48ebc4bdc2d8c2f8b456c,delta-tek-sprut-mount-for-pump-action-shotguns,1,1
55d4ae6c4bdc2d8b2f8b456e,high-standard-m4ss-stock,2,1
55d4af3a4bdc2d972f8b456f,ar-15-leapers-utg-low-profile-a2-front-sight,1,1
55d4b9964bdc2d1d4e8b456e,ar-15-colt-a2-pistol-grip,1,1
55d5f46a4bdc2d1b198b4567,ar-15-colt-a2-rear-sight,1,1
55d614004bdc2d86028b4568,surefire-socom556-monster-556x45-sound-suppressor,2,1
55d6190f4bdc2d87028b4567,surefire-socom556-mini-monster-556x45-sound-suppressor,2,1
55f84c3c4bdc2d5f408b4576,ar-15-daniel-defense-ris-ii-95-handguard-coyote-brown,2,1
560835c74bdc2dc8488b456f,mp-133-12ga-510mm-barrel-with-rib,3,1
560836484bdc2d20478b456e,mp-133-12ga-540mm-barrel,3,1
560836b64bdc2d57468b4567,mp-133-12ga-540mm-barrel-with-rib,3,1
560836fb4bdc2d773f8b4569,mp-133-12ga-660mm-barrel,4,1
560837154bdc2da74d8b4568,mp-133-12ga-660mm-barrel-with-rib,4,1
5608373c4bdc2dc8488b4570,mp-133-12ga-710mm-barrel,5,1
560837544bdc2de22e8b456e,mp-133-12ga-710mm-barrel-with-rib,5,1
560837824bdc2d57468b4568,mp-133-12ga-750mm-barrel,5,1
5608379a4bdc2d26448b4569,mp-133-12ga-750mm-barrel-with-rib,5,1
560838c94bdc2d77798b4569,remington-tactical-choke-12ga,1,1
56083a334bdc2dc8488b4571,mp-133153-plastic-pistol-grip,1,1
56083be64bdc2d20478b456f,mp-133153-plastic-stock,2,1
56083cba4bdc2de22e8b456f,mp-133153-wooden-stock,2,1
56083e1b4bdc2dc8488b4572,sv-98-rear-sight,1,1
56083eab4bdc2d26448b456a,sv-98-anti-heat-ribbon,1,1
560d5e524bdc2d25448b4571,1270-7mm-buckshot,1,1
560d61e84bdc2da74d8b4571,762x54mm-r-snb-gzh,1,1
560d657b4bdc2da74d8b4572,zenit-klesch-2p-flashlight-with-laser,1,1
560d75f54bdc2da74d8b4573,762x54mm-r-snb-gzh-ammo-pack-30-pcs,1,1
560e620e4bdc2d724b8b456b,sv-98-762x54r-muzzle-device,1,1
5644bd2b4bdc2d3b4c8b4572,kalashnikov-ak-74n-545x39-assault-rifle,4,1
5645bc214bdc2d363b8b4571,fort-kiver-m-bulletproof-helmet,2,2
5645bcc04bdc2d363b8b4572,peltor-comtac-2-headset,2,2
5648a69d4bdc2ded0b8b457b,blackrock-chest-rig,3,4
5648a7494bdc2d9d488b4583,paca-soft-armor,3,3
5648ac824bdc2ded0b8b457d,ak-zenit-rp-1-charging-handle,1,1
5648ae314bdc2d3d1c8b457f,ak-caa-rs47-handguard,1,1
5648b0744bdc2d363b8b4578,ak-74-wooden-handguard-6p20-sb6,1,1
5648b1504bdc2d9d488b4584,ak-74-polymer-handguard-6p20-sb9,1,1
5648b4534bdc2d3d1c8b4580,ak-zenit-b-10m-handguard-with-b-19-upper-mount,1,1
5649a2464bdc2d91118b45a8,ncstar-mpr45-backup-mount,1,1
5649aa744bdc2ded0b8b457e,ak-74-545x39-muzzle-brake-compensator-6p20-0-20,1,1
5649ab884bdc2ded0b8b457f,ak-zenit-dtk-1-762x39545x39-muzzle-brake-compensator,1,1
5649ad3f4bdc2df8348b4585,ak-bakelite-pistol-grip-6p1-sb8v,1,1
5649ade84bdc2d1b2b8b4587,ak-polymer-pistol-grip-6p1-sb8,1,1
5649ae4a4bdc2d1b2b8b4588,ak-zenit-rk-3-pistol-grip,1,1
5649af094bdc2df8348b4586,ak-74-dust-cover-6p20-0-1,2,1
5649af884bdc2d1b2b8b4589,ak-zenit-b-33-dust-cover,2,1
5649b0544bdc2d1b2b8b458a,ak-74-rear-sight-6p20-sb2,1,1
5649b0fc4bdc2d17108b4588,ak-74-polymer-stock-6p20-sb7,2,1
5649b1c04bdc2d16268b457c,ak-74-wooden-stock-6p20-sb5,2,1
5649b2314bdc2d79388b4576,akmak-74-me4-buffer-tube-adapter,1,1
5649be884bdc2d79388b4577,colt-carbine-buffer-tube,2,1
5649d9a14bdc2d79388b4580,ak-taktika-tula-tt01-rear-sight-rail,1,1
5649ed104bdc2d3d1c8b458b,762x39mm-ps-gzh-ammo-pack-30-pcs,1,1
564ca99c4bdc2d16268b4589,ak-74-545x39-6l20-30-round-magazine,1,2
564ca9df4bdc2d35148b4569,ak-74-545x39-6l18-45-round-magazine,1,3
564caa3d4bdc2d17108b458e,ak-74-tgp-a-545x39-sound-suppressor,2,1
5656d7c34bdc2d9d198b4587,762x39mm-ps-gzh,1,1
5656eb674bdc2d35148b457c,40mm-vog-25-grenade,1,1
567143bf4bdc2d1a0f8b4567,pistol-case,2,2
5672c92d4bdc2d180f8b4567,dorm-room-118-key,1,1
5672cb124bdc2d1a0f8b4568,aa-battery,1,1
5672cb304bdc2dc2088b456a,d-size-battery,1,1
5672cb724bdc2dc2088b456b,geiger-muller-counter,1,2
5673de654bdc2d180f8b456d,can-of-pacific-saury,1,1
